"","fips","Warm","Cold","ppt","series","SYMBOL","SI_m","SI_ft"
"47",26009,14.8,-12.19,780.550937126804,"AU GRES","POTR5",22.4699782764906,73.7204011695886
"370",26009,14.8,-12.19,780.550937126804,"MANCELONA","POTR5",22.4859139728911,73.7726836380941
"302",26009,14.8,-12.19,780.550937126804,"KAWKAWLIN","POTR5",23.2323395995193,76.2215866125961
"404",26009,14.8,-12.19,780.550937126804,"MORGANLAKE","POTR5",23.4391995954778,76.900261140019
"115",26009,14.8,-12.19,780.550937126804,"CROSWELL","POTR5",23.6320723442109,77.5330457487234
"234",26009,14.8,-12.19,780.550937126804,"HALFADAY","POTR5",23.8822413034541,78.3538100507025
"285",26009,14.8,-12.19,780.550937126804,"KALKASKA","POTR5",23.8954838256675,78.3972566458906
"13",26009,14.8,-12.19,780.550937126804,"ALLENDALE","POTR5",24.3293458745436,79.8206885647755
"251",26009,14.8,-12.19,780.550937126804,"IOSCO","POTR5",24.4518040820718,80.2224543375061
"217",26009,14.8,-12.19,780.550937126804,"ENSLEY","POTR5",24.4961210242504,80.3678511294304
"421",26009,14.8,-12.19,780.550937126804,"ONAWAY","POTR5",24.5473611225585,80.535961688184
"166",26009,14.8,-12.19,780.550937126804,"DEFORD","POTR5",24.6360900449867,80.827067076728
"98",26009,14.8,-12.19,780.550937126804,"CHARLEVOIX","POTR5",24.7050683639204,81.0533738973766
"64",26009,14.8,-12.19,780.550937126804,"BLUE LAKE","POTR5",25.6134287786512,84.033558985076
"200",26009,14.8,-12.19,780.550937126804,"EMMET","POTR5",25.9104329715321,85.0079821900659
"387",26009,14.8,-12.19,780.550937126804,"MENOMINEE","POTR5",26.3518973660263,86.4563561877502
"472",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","POTR5",27.0099418136929,88.6152946643467
"268",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","POTR5",27.3948843412498,89.8782294660427
"150",26009,14.8,-12.19,780.550937126804,"DEER PARK","QUAL",11.8882793365588,39.0035411304423
"133",26009,14.8,-12.19,780.550937126804,"DAWSON","QUAL",12.4177903867308,40.740782108697
"320",26009,14.8,-12.19,780.550937126804,"KINROSS","QUAL",12.455911646666,40.8658518591405
"354",26009,14.8,-12.19,780.550937126804,"LUPTON","QUAL",12.5835641280301,41.2846592126971
"184",26009,14.8,-12.19,780.550937126804,"EAST LAKE","QUAL",13.1449280576041,43.1264043884648
"337",26009,14.8,-12.19,780.550937126804,"LEELANAU","QUAL",13.1604162892676,43.1772187968098
"82",26009,14.8,-12.19,780.550937126804,"CATHRO","QUAL",13.8970323041455,45.5939380057266
"439",26009,14.8,-12.19,780.550937126804,"OTISCO","QUAL",14.081287106255,46.1984485113353
"490",26009,14.8,-12.19,780.550937126804,"TAWAS","QUAL",14.1151882775645,46.309672826655
"456",26009,14.8,-12.19,780.550937126804,"RUBICON","QUAL",14.6083010253838,47.9274968024404
"31",26009,14.8,-12.19,780.550937126804,"ANGELICA","QUAL",14.9145561607218,48.9322708685099
"371",26009,14.8,-12.19,780.550937126804,"MANCELONA","QUAL",15.1431415737337,49.6822230109374
"48",26009,14.8,-12.19,780.550937126804,"AU GRES","QUAL",15.3071429390837,50.2202852332144
"405",26009,14.8,-12.19,780.550937126804,"MORGANLAKE","QUAL",15.4871551788153,50.8108765709164
"303",26009,14.8,-12.19,780.550937126804,"KAWKAWLIN","QUAL",15.5136386275898,50.8977645262131
"116",26009,14.8,-12.19,780.550937126804,"CROSWELL","QUAL",15.8588878175883,52.0304718424812
"286",26009,14.8,-12.19,780.550937126804,"KALKASKA","QUAL",15.8704724722711,52.0684792397346
"235",26009,14.8,-12.19,780.550937126804,"HALFADAY","QUAL",16.1020432975264,52.8282260417533
"422",26009,14.8,-12.19,780.550937126804,"ONAWAY","QUAL",16.1705983151107,53.0531440784472
"14",26009,14.8,-12.19,780.550937126804,"ALLENDALE","QUAL",16.314556322896,53.5254472535959
"252",26009,14.8,-12.19,780.550937126804,"IOSCO","QUAL",16.417967537614,53.8647228924343
"218",26009,14.8,-12.19,780.550937126804,"ENSLEY","QUAL",16.7208305107794,54.8583678175176
"99",26009,14.8,-12.19,780.550937126804,"CHARLEVOIX","QUAL",16.7368210420227,54.9108301903631
"167",26009,14.8,-12.19,780.550937126804,"DEFORD","QUAL",17.0538936103234,55.9510945220583
"65",26009,14.8,-12.19,780.550937126804,"BLUE LAKE","QUAL",17.111801378032,56.1410806365881
"201",26009,14.8,-12.19,780.550937126804,"EMMET","QUAL",17.2232210311105,56.5066306794963
"388",26009,14.8,-12.19,780.550937126804,"MENOMINEE","QUAL",17.4878273671453,57.3747617032326
"269",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","QUAL",18.1567388917443,59.5693533193711
"473",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","QUAL",18.1910374420966,59.6818813717081
"151",26009,14.8,-12.19,780.550937126804,"DEER PARK","QURU",14.2536573690117,46.7639677461012
